embedding,fusion,repeat,level,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss,n
model_1_all_mpnet_base_v2,late_fusion,4,L4,0.8212356119332864,0.8113695090439276,-0.009866102889358852,0.7054644006484585,0.6923889755188121,-0.013075425129646434,0.19219245798023732,0.18508766736434304,0.00710479061589428,0.5863600060734968,0.5703513626979038,0.016008643375593046,142
model_1_all_mpnet_base_v2,late_fusion,5,L1,0.6943857176415316,0.7143528306319005,0.019967112990368907,0.4791737457539578,0.49397240004232745,0.014798654288369628,0.24293194164787799,0.23760691996436528,0.005325021683512704,0.6789802537403791,0.6684572728189743,0.010522980921404801,142
model_1_all_mpnet_base_v2,late_fusion,5,L2,0.7047216349541932,0.7091848719755697,0.0044632370213765205,0.5051875349863741,0.5148861964802933,0.00969866149391918,0.22140184894467158,0.2176310757713327,0.003770773173338876,0.6379484978805555,0.6360416678072375,0.0019068300733180443,142
model_1_all_mpnet_base_v2,late_fusion,5,L3,0.8083157152924594,0.8113695090439277,0.0030537937514683033,0.6947035985035297,0.7044350972164809,0.009731498712951203,0.20555740062691746,0.20326609363397632,0.002291306992941139,0.6012406329707586,0.5964876108664904,0.004753022104268201,142
model_1_all_mpnet_base_v2,late_fusion,5,L4,0.8097251585623679,0.8113695090439277,0.0016443504815597532,0.6916130341832982,0.6889280421724203,-0.002684992010877907,0.1912917621248213,0.19102276569294438,0.0002689964318769167,0.5677792145510132,0.5672980223963131,0.00048119215470010523,142
model_1_all_mpnet_base_v2,late_fusion,6,L1,0.7441860465116279,0.756636128729152,0.012450082217524083,0.622050865849379,0.6323041423845756,0.010253276535196587,0.2332920988884636,0.22224219411933083,0.011049904769132785,0.6594289657200711,0.6337737553321225,0.0256552103879486,142
model_1_all_mpnet_base_v2,late_fusion,6,L2,0.7131782945736433,0.7286821705426356,0.015503875968992276,0.5511381480813885,0.5816639288161831,0.030525780734794616,0.21177012029563125,0.20777109848826028,0.003999021807370967,0.6157767996617055,0.6019839728516723,0.013792826810033243,142
model_1_all_mpnet_base_v2,late_fusion,6,L3,0.7939863753817241,0.8167723749119097,0.022785999530185563,0.6993986553569289,0.7185858602321102,0.01918720487518133,0.18714311026046562,0.18406691056670813,0.0030761996937574976,0.5566739208252228,0.5501585409338193,0.006515379891403494,142
model_1_all_mpnet_base_v2,late_fusion,6,L4,0.8054968287526426,0.8261686633779656,0.02067183462532296,0.7102376344282738,0.715523819416811,0.005286184988537168,0.1896735164712483,0.19573737016066892,-0.006063853689420612,0.5623475016065121,0.5793843026971135,-0.01703680109060135,142
model_1_all_mpnet_base_v2,late_fusion,7,L1,0.7061310782241016,0.6868686868686869,-0.019262391355414743,0.5343255918548937,0.4470087613266138,-0.08731683052827988,0.24032199563911336,0.26158886780052865,-0.02126687216141529,0.6732802518434367,1.4932060975107893,-0.8199258456673526,142
