embedding_model,repeat,condition,draw_id,model_level,fusion_method,n,auc,pr_auc,brier,log_loss
model_1_all_mpnet_base_v2,7,random,28,L1,early_concat,142,0.6847545219638242,0.538108233754559,0.2225582132285357,0.6436069251542322
model_1_all_mpnet_base_v2,7,random,29,L1,early_concat,142,0.730091613812544,0.5848086011254972,0.20434379587378285,0.5946948360161135
model_1_all_mpnet_base_v2,7,random,30,L1,early_concat,142,0.6960300681230913,0.5662585754937465,0.20714719789043992,0.6090118191023022
model_1_all_mpnet_base_v2,7,random,31,L1,early_concat,142,0.77143528306319,0.6354177901479583,0.22553622199410533,0.6433646804375066
model_1_all_mpnet_base_v2,7,random,32,L1,early_concat,142,0.7056612638007986,0.5330434190463421,0.22966326654569394,0.6515223154530749
model_1_all_mpnet_base_v2,7,random,33,L1,early_concat,142,0.7329105003523608,0.5723087367735566,0.24223284205634144,0.6810669076759223
model_1_all_mpnet_base_v2,7,random,34,L1,early_concat,142,0.7019027484143763,0.5189047763627869,0.23963986673214116,0.6721008506858047
model_1_all_mpnet_base_v2,7,random,35,L1,early_concat,142,0.6833450786939159,0.5599183406050738,0.22160211277548134,0.6375335964400035
model_1_all_mpnet_base_v2,7,random,36,L1,early_concat,142,0.7571059431524548,0.6305029210238454,0.24611957948657143,0.6853840474227961
model_1_all_mpnet_base_v2,7,random,37,L1,early_concat,142,0.7148226450552031,0.5884633008915747,0.21043792694680225,0.6159057857740227
model_1_all_mpnet_base_v2,7,random,38,L1,early_concat,142,0.7239840263096077,0.5832655559276139,0.2059812581691199,0.6020088289327451
model_1_all_mpnet_base_v2,7,random,39,L1,early_concat,142,0.7716701902748415,0.6623446600579628,0.19277087479129054,0.5722115573468816
model_1_all_mpnet_base_v2,7,random,40,L1,early_concat,142,0.6929762743716232,0.5148375110822067,0.23424606983201307,0.6630103475830662
model_1_all_mpnet_base_v2,7,random,41,L1,early_concat,142,0.6889828517735495,0.5468322048999259,0.22476425038801592,0.6399757868844036
model_1_all_mpnet_base_v2,7,random,42,L1,early_concat,142,0.7340850364106177,0.5836944009438385,0.21442846725034054,0.624666110900345
model_1_all_mpnet_base_v2,7,random,43,L1,early_concat,142,0.6871035940803383,0.5238267032454643,0.23245592114832733,0.6597509399318271
model_1_all_mpnet_base_v2,7,random,44,L1,early_concat,142,0.728917077754287,0.5996059232282165,0.2378529294044274,0.6685297982736088
model_1_all_mpnet_base_v2,7,random,45,L1,early_concat,142,0.7338501291989665,0.5832955293926178,0.2187687144132227,0.6307798310189667
model_1_all_mpnet_base_v2,7,random,46,L1,early_concat,142,0.7127084801503407,0.5656496178738443,0.22815817219085263,0.6487078383321138
model_1_all_mpnet_base_v2,7,random,47,L1,early_concat,142,0.764857881136951,0.6722758812092224,0.18599645946671456,0.5578639243851313
model_1_all_mpnet_base_v2,7,random,48,L1,early_concat,142,0.7206953253464881,0.5535160669943511,0.24223952186223802,0.6774420419414305
model_1_all_mpnet_base_v2,7,random,49,L1,early_concat,142,0.7322057787174064,0.5961684351985712,0.23091852844222285,0.6541706613720286
model_1_all_mpnet_base_v2,7,random,50,L1,early_concat,142,0.726568005637773,0.5752365921045551,0.2322775352966039,0.6569897911411852
model_1_all_mpnet_base_v2,7,real,0,L1,early_concat,142,0.796805261921541,0.6670588237888411,0.2472744049113038,0.6876895683380237
model_1_all_mpnet_base_v2,8,matched,1,L1,early_concat,142,0.7214000469814424,0.5339817405865782,0.24083989274752415,0.6744280473452102
model_1_all_mpnet_base_v2,8,matched,2,L1,early_concat,142,0.6939159032182287,0.5333252236052443,0.2308317009427672,0.6538275205645409
model_1_all_mpnet_base_v2,8,matched,3,L1,early_concat,142,0.7174066243833686,0.5423773488882522,0.22390414938165742,0.6396614173484478
model_1_all_mpnet_base_v2,8,matched,4,L1,early_concat,142,0.721165139769791,0.5286405679749386,0.23262161435954923,0.6575428986080056
model_1_all_mpnet_base_v2,8,matched,5,L1,early_concat,142,0.7047216349541932,0.5430826795069897,0.23265072429292502,0.6576461607379704
model_1_all_mpnet_base_v2,8,matched,6,L1,early_concat,142,0.6866337796570355,0.5199856869819948,0.23112319540057313,0.6541964838052009
model_1_all_mpnet_base_v2,8,matched,7,L1,early_concat,142,0.7143528306319004,0.588323982872608,0.24616060254080072,0.6854635436331378
model_1_all_mpnet_base_v2,8,matched,8,L1,early_concat,142,0.6805261921540992,0.5270936196408189,0.23108535762970467,0.6545171808798548
model_1_all_mpnet_base_v2,8,matched,9,L1,early_concat,142,0.7148226450552032,0.5255268712355459,0.232314530918955,0.6569851206245315
