record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,2,outer_test,random_mismatch,489,367,False,True,4.45832057511861,1.516313841947636,0.9613330591897481,0.5028079891392175,0.5291632919403884,1.076396969580709,2.337017673762987,3.0822299923059453
pairwise,tfidf,1,3,2,outer_test,random_mismatch,491,425,False,True,1.5936670831585298,0.6448691051961211,0.9047840557079982,0.0,0.0,0.9567973062939635,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,3,outer_test,random_mismatch,305,475,False,True,5.491928020490167,0.0174288947350303,2.9405481810509944,2.5140399456960876,1.0583265838807767,2.810592087238518,1.7527632553222403,1.761274281317683
pairwise,tfidf,1,3,3,outer_test,random_mismatch,307,344,False,True,2.530075505864108,1.2548804209221815,1.1875290731167476,0.0,0.5291632919403884,1.255796464510827,1.1685088368814935,0.44031857032942073
pairwise,tfidf,1,3,3,outer_test,random_mismatch,313,371,False,True,2.072732697752455,1.8736061840157572,0.3392940208904993,0.5028079891392175,0.5291632919403884,0.2989991582168636,0.0,0.22015928516471037
pairwise,tfidf,1,3,3,outer_test,random_mismatch,315,380,False,True,1.3468266222843173,0.697155789401212,0.05654900348174989,0.5028079891392175,0.5291632919403884,0.11959966328674544,0.5842544184407468,0.6604778554941311
pairwise,tfidf,1,3,3,outer_test,random_mismatch,317,439,False,True,3.6770847528206816,0.07843002630763635,1.4137250870437472,2.01123195655687,2.1166531677615534,1.255796464510827,1.1685088368814935,0.22015928516471037
pairwise,tfidf,1,3,3,outer_test,random_mismatch,320,338,False,True,6.0465028677901165,1.8474628419132118,2.601254160160495,3.5196559239745224,2.645816459701942,2.3321934340915362,0.5842544184407468,1.1007964258235519
pairwise,tfidf,1,3,3,outer_test,random_mismatch,338,393,False,True,1.367272274258253,0.8104436051789089,0.5654900348174989,0.0,0.0,0.5979983164337273,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,3,outer_test,random_mismatch,344,491,False,True,3.5605173699760098,0.6100113157260605,1.526823094007247,1.5084239674176525,2.1166531677615534,1.7939949493011815,0.0,0.0
pairwise,tfidf,1,3,3,outer_test,random_mismatch,352,367,False,True,3.506011257078477,1.220022631452121,1.4137250870437472,0.5028079891392175,0.5291632919403884,1.4351959594409454,1.1685088368814935,2.2015928516471037
pairwise,tfidf,1,3,3,outer_test,random_mismatch,356,315,False,True,2.627693173418112,0.7058702367687272,0.28274501740874947,0.0,0.0,0.2989991582168636,2.337017673762987,0.8806371406588415
pairwise,tfidf,1,3,3,outer_test,random_mismatch,367,446,False,True,3.5286304654367355,0.14814560524775755,0.3958430243722492,1.005615978278435,1.0583265838807767,0.2989991582168636,1.7527632553222403,2.6419114219765243
pairwise,tfidf,1,3,3,outer_test,random_mismatch,371,397,False,True,2.4119385345280278,0.24400452629042418,0.16964701044524966,1.005615978278435,1.0583265838807767,0.2989991582168636,1.7527632553222403,0.6604778554941311
pairwise,tfidf,1,3,3,outer_test,random_mismatch,380,459,False,True,3.7702445503629387,1.0893059209393938,0.05654900348174989,2.01123195655687,2.1166531677615534,0.17939949493011817,1.1685088368814935,1.761274281317683
pairwise,tfidf,1,3,3,outer_test,random_mismatch,383,430,False,True,4.700332659260256,0.6012968683585453,0.22619601392699956,3.016847934835305,3.17497975164233,0.5979983164337273,1.1685088368814935,0.8806371406588415
pairwise,tfidf,1,3,3,outer_test,random_mismatch,393,313,False,True,1.6044575919357196,0.6535835525636362,0.8482350522262483,0.5028079891392175,0.5291632919403884,0.8371976430072181,0.0,0.44031857032942073
pairwise,tfidf,1,3,3,outer_test,random_mismatch,395,425,False,True,2.436805855600604,0.30500565786303024,0.3958430243722492,1.5084239674176525,1.587489875821165,0.5979983164337273,0.5842544184407468,0.44031857032942073
pairwise,tfidf,1,3,3,outer_test,random_mismatch,397,489,False,True,2.0256121744205378,0.3834356841706666,0.22619601392699956,0.0,0.0,0.23919932657349088,1.7527632553222403,0.8806371406588415
